2024-02-29 16:16:03.898 | INFO     | backend.settings:<module>:189 - base.py settings loading
2024-02-29 16:16:08.240 | INFO     | business.urls:<module>:24 - Start to watch log file
2024-02-29 16:16:08.243 | INFO     | business.urls:<module>:35 - LOG_PATH监控线程已启动，LOG_PATH: D:/LibCity/Bigscity-LibCity\libcity\log\
2024-02-29 16:16:24.359 | ERROR    | authentication.auth:validate:29 - 账号登录异常：账号或密码错误
2024-02-29 16:18:16.274 | INFO     | business.save_geojson:show_geo_view:242 - 尝试绘制D:/LibCity/Bigscity-LibCity\raw_data\3_Chengdu_Taxi_Sample1_geo_json\Chengdu_Taxi_Sample1_dyna.json文件的地理图象
2024-02-29 16:18:16.293 | INFO     | business.save_geojson:show_geo_view:258 - background select:https://mt.google.com/vt/lyrs=m&x={x}&y={y}&z={z}
2024-02-29 16:18:16.315 | INFO     | business.save_geojson:show_geo_view:364 - D:/LibCity/Bigscity-LibCity\raw_data\3_Chengdu_Taxi_Sample1_geo_json\Chengdu_Taxi_Sample1_dyna.json文件的地理图象绘制成功
2024-02-29 16:18:16.315 | INFO     | business.threads:run:235 - 文件可视化完毕，文件状态：2
2024-02-29 16:18:16.315 | INFO     | business.threads:run:242 - 3_Chengdu_Taxi_Sample1数据可视化处理完毕
2024-02-29 16:18:21.860 | DEBUG    | business.views:get_file_status:283 - after remove completed: []
2024-02-29 16:20:12.978 | INFO     | business.save_geojson:show_geo_view:242 - 尝试绘制D:/LibCity/Bigscity-LibCity\raw_data\3_Chengdu_Taxi_Sample1_geo_json\Chengdu_Taxi_Sample1_dyna.json文件的地理图象
2024-02-29 16:20:12.986 | INFO     | business.save_geojson:show_geo_view:258 - background select:https://webrd02.is.autonavi.com/appmaptile?lang=zh_en&size=1&scale=1&style=8&x={x}&y={y}&z={z} 
2024-02-29 16:20:13.010 | INFO     | business.save_geojson:show_geo_view:364 - D:/LibCity/Bigscity-LibCity\raw_data\3_Chengdu_Taxi_Sample1_geo_json\Chengdu_Taxi_Sample1_dyna.json文件的地理图象绘制成功
2024-02-29 16:20:13.025 | INFO     | business.threads:run:235 - 文件可视化完毕，文件状态：2
2024-02-29 16:20:13.030 | INFO     | business.threads:run:242 - 3_Chengdu_Taxi_Sample1数据可视化处理完毕
2024-02-29 16:20:18.855 | DEBUG    | business.views:get_file_status:283 - after remove completed: []
